ecg1,ecg2,ecg3,ecg4,ecg5,tstamp
0.0042659,0.00014736,0.0012634,-0.00074171,-0.0014068,23:05.8
0.0045523,0.00019738,0.0014617,-0.00082948,-0.0014767,23:05.8
0.0047912,0.00026267,0.0016777,-0.00088678,-0.001518,23:05.8
0.0050424,0.00038909,0.0018581,-0.000893,-0.0014991,23:05.8
0.0049541,0.00040265,0.0019878,-0.00087276,-0.001458,23:05.8
0.0045598,0.00027843,0.0020954,-0.00083954,-0.0014182,23:05.8
0.0041981,0.00017726,0.0021604,-0.00079531,-0.0013683,23:05.8
0.0038925,7.48E-05,0.0022185,-0.00076956,-0.0013219,23:05.8
0.0037457,1.77E-05,0.002285,-0.00077494,-0.0013097,23:05.8
0.0038844,5.35E-05,0.0023415,-0.00081553,-0.001351,23:05.8
0.0041088,4.13E-05,0.0024255,-0.00089538,-0.0014248,23:05.8
0.0045099,0.00019078,0.0025943,-0.00092615,-0.0014456,23:05.8
0.0051617,0.00062775,0.0028232,-0.00085638,-0.0013784,23:05.8
0.0055901,0.00097842,0.0030105,-0.00075747,-0.001288,23:05.8
0.0055367,0.0010378,0.0031079,-0.00068776,-0.0012279,23:05.8
0.0048931,0.00062272,0.0030407,-0.0007556,-0.0012857,23:05.8
0.0039414,-7.71E-05,0.0028563,-0.00090847,-0.0014324,23:05.8
0.0034519,-0.00038642,0.0027978,-0.00094573,-0.00148,23:05.8
0.0034395,-0.00034839,0.0028669,-0.00093382,-0.0014504,23:05.9
0.0036326,-0.00025913,0.0029447,-0.00094868,-0.0014588,23:05.9
0.0040273,-0.00011292,0.0030464,-0.0009819,-0.0014963,23:05.9
0.0044071,-1.84E-05,0.003146,-0.0010581,-0.0015436,23:05.9
0.0046517,4.55E-05,0.0032206,-0.0010981,-0.0015831,23:05.9
0.0047404,9.76E-05,0.0032744,-0.001095,-0.0015986,23:05.9
0.0046623,0.00010797,0.0033085,-0.0010548,-0.0015573,23:05.9
0.0044489,0.00013191,0.003327,-0.00094686,-0.0014564,23:05.9
0.004144,0.00011597,0.0033075,-0.00085558,-0.0013623,23:05.9
0.0039794,0.00013248,0.0032865,-0.0007919,-0.0012871,23:05.9
0.0040487,0.00027336,0.0033029,-0.00073239,-0.0012214,23:05.9
0.004286,0.00041502,0.0033421,-0.00073472,-0.0012116,23:05.9
0.0046122,0.00048428,0.0033916,-0.00079181,-0.0012715,23:05.9
0.0048362,0.00047352,0.0034172,-0.00087977,-0.0013633,23:05.9
0.0049195,0.0003795,0.0034053,-0.00098388,-0.0014528,23:05.9
0.004845,0.0002381,0.0033678,-0.001038,-0.0015054,23:05.9
0.0045608,9.33E-05,0.0033062,-0.0010317,-0.0015008,23:05.9
0.0041803,4.34E-06,0.0032402,-0.00099148,-0.0014436,23:05.9
0.0038519,-1.97E-05,0.0031914,-0.00092255,-0.0013543,23:05.9
0.0036544,-1.44E-05,0.0031631,-0.00085303,-0.0012638,23:05.9
0.0036045,7.60E-05,0.0031577,-0.00081,-0.0012085,23:05.9
0.0038536,0.00028758,0.0031962,-0.00081184,-0.0011945,23:05.9
0.004431,0.00057693,0.0033141,-0.00079815,-0.0011543,23:05.9
0.0050587,0.00093959,0.003449,-0.0007367,-0.001088,23:05.9
0.0053685,0.0010931,0.0034469,-0.00075449,-0.0011092,23:05.9
0.0050376,0.00074443,0.0033007,-0.0008723,-0.0012289,23:05.9
0.004298,0.00018682,0.0030989,-0.00099689,-0.0013573,23:05.9
0.0036294,-0.00021734,0.0029041,-0.0010477,-0.0014036,23:05.9
0.0032154,-0.00033094,0.0028049,-0.00096789,-0.0013294,23:05.9
0.003082,-0.00023478,0.0027687,-0.00087143,-0.001229,23:05.9
0.0030907,-0.00017411,0.0027327,-0.00084731,-0.0011882,23:05.9
0.003233,-0.00013312,0.002722,-0.0008608,-0.0012147,23:05.9
0.0035993,-3.82E-05,0.0027371,-0.0009147,-0.0012795,23:05.9
0.0041613,0.00020348,0.0028156,-0.00093013,-0.0012877,23:05.9
0.0047685,0.00063334,0.002912,-0.00084289,-0.0012056,23:05.9
0.0050839,0.00093969,0.0029075,-0.00073991,-0.0011055,23:05.9
0.0049412,0.00091523,0.0027898,-0.00069885,-0.0010749,23:05.9
0.0043459,0.00057154,0.0025831,-0.00070955,-0.0011171,23:05.9
0.0035717,0.00010752,0.0023643,-0.00072101,-0.0011583,23:05.9
