ecg1,ecg2,ecg3,ecg4,ecg5,tstamp
0.00033084,4.90E-05,0.00012131,-5.72E-05,-0.00013671,21:15.7
0.00031564,5.19E-05,0.00012915,-5.44E-05,-0.00013238,21:15.7
0.00024899,4.87E-05,0.00015613,-3.04E-05,-0.00010306,21:15.7
0.00018146,5.23E-05,0.00018646,-4.95E-06,-7.94E-05,21:15.7
0.0001175,5.85E-05,0.00020833,1.35E-05,-5.80E-05,21:15.7
6.97E-05,5.52E-05,0.00022589,2.42E-05,-4.61E-05,21:15.7
9.58E-05,5.34E-05,0.0002218,1.46E-05,-5.76E-05,21:15.7
0.000174,5.45E-05,0.0001959,-1.09E-05,-7.58E-05,21:15.7
0.00025394,5.53E-05,0.00017248,-4.24E-05,-9.92E-05,21:15.7
0.00032884,5.58E-05,0.0001454,-7.02E-05,-0.00012693,21:15.7
0.00037173,5.90E-05,0.00013426,-7.83E-05,-0.00013636,21:15.7
0.00034958,5.88E-05,0.00015414,-7.25E-05,-0.00012707,21:15.7
0.00028718,5.33E-05,0.00016942,-5.61E-05,-0.000107,21:15.7
0.00022124,5.56E-05,0.00019225,-2.72E-05,-7.86E-05,21:15.7
0.00015326,5.98E-05,0.00022542,-4.44E-06,-5.60E-05,21:15.7
0.00011992,5.81E-05,0.00023111,3.97E-07,-4.99E-05,21:15.7
0.00015245,5.51E-05,0.00022364,-1.09E-05,-6.05E-05,21:15.7
0.00020761,5.04E-05,0.00020891,-3.48E-05,-8.24E-05,21:15.7
0.0002792,4.77E-05,0.00018057,-6.37E-05,-0.0001056,21:15.8
0.00037009,4.85E-05,0.00016113,-8.77E-05,-0.00012433,21:15.8
0.00041059,4.74E-05,0.0001525,-9.95E-05,-0.00013661,21:15.8
0.00037865,4.71E-05,0.00015876,-9.40E-05,-0.00012959,21:15.8
0.00031933,4.99E-05,0.00018525,-7.33E-05,-0.00010085,21:15.8
0.00024959,5.07E-05,0.00021235,-5.17E-05,-7.36E-05,21:15.8
0.00017769,4.99E-05,0.00023479,-3.57E-05,-5.37E-05,21:15.8
0.00014289,4.74E-05,0.00025077,-2.36E-05,-3.75E-05,21:15.8
0.00017428,4.69E-05,0.00024001,-3.38E-05,-4.61E-05,21:15.8
0.00025181,4.88E-05,0.0002075,-6.71E-05,-7.63E-05,21:15.8
0.00033464,4.21E-05,0.00018536,-9.23E-05,-9.99E-05,21:15.8
0.00040086,3.72E-05,0.00017047,-0.00011181,-0.00011868,21:15.8
0.00042993,3.84E-05,0.00015525,-0.00012728,-0.00012861,21:15.8
0.00039779,3.35E-05,0.00016457,-0.00011651,-0.00011366,21:15.8
0.00032661,2.62E-05,0.00019037,-9.64E-05,-8.86E-05,21:15.8
0.00026179,2.27E-05,0.00021132,-7.91E-05,-6.57E-05,21:15.8
0.00020572,2.49E-05,0.00023122,-5.49E-05,-3.95E-05,21:15.8
0.00016241,2.33E-05,0.00024322,-4.06E-05,-2.34E-05,21:15.8
0.00018487,1.87E-05,0.0002333,-5.20E-05,-3.49E-05,21:15.8
0.00026922,2.14E-05,0.00020514,-7.94E-05,-5.65E-05,21:15.8
0.00034681,1.62E-05,0.00017748,-0.00010946,-7.51E-05,21:15.8
0.00041128,9.41E-06,0.00015492,-0.00013468,-9.68E-05,21:15.8
0.00044831,8.89E-06,0.00014313,-0.00014244,-0.00010247,21:15.8
0.0004132,2.26E-06,0.0001539,-0.00012822,-8.67E-05,21:15.8
0.00034268,1.70E-06,0.00017014,-0.0001051,-6.31E-05,21:15.8
0.00027135,4.43E-06,0.00018721,-8.13E-05,-3.33E-05,21:15.8
0.0001959,-1.56E-07,0.00021172,-5.80E-05,-9.68E-06,21:15.8
0.000161,-2.42E-06,0.00022316,-4.63E-05,3.17E-06,21:15.8
0.00019053,-3.90E-06,0.00020922,-5.56E-05,2.06E-06,21:15.8
0.0002477,-7.14E-06,0.00017727,-7.79E-05,-2.23E-05,21:15.8
0.00031949,-1.20E-05,0.00013987,-0.00010635,-5.06E-05,21:15.8
0.00038824,-1.54E-05,0.00011055,-0.00012746,-6.51E-05,21:15.8
0.00040421,-1.58E-05,9.84E-05,-0.00012869,-6.87E-05,21:15.8
0.00035818,-2.19E-05,0.00010378,-0.00011957,-6.07E-05,21:15.8
0.0002771,-2.61E-05,0.00012031,-9.66E-05,-3.62E-05,21:15.8
0.00019079,-2.15E-05,0.00013975,-6.33E-05,-4.09E-06,21:15.8
0.00011789,-1.97E-05,0.00015402,-3.88E-05,1.83E-05,21:15.8
7.50E-05,-2.18E-05,0.00015828,-2.45E-05,2.71E-05,21:15.8
8.65E-05,-2.33E-05,0.00013777,-2.84E-05,1.65E-05,21:15.8
0.00014479,-2.45E-05,9.89E-05,-4.85E-05,-1.04E-05,21:15.8
0.00021542,-2.56E-05,7.18E-05,-7.03E-05,-3.62E-05,21:15.8
0.00026651,-2.63E-05,4.87E-05,-8.78E-05,-5.74E-05,21:15.8
0.00028184,-2.28E-05,2.81E-05,-8.79E-05,-6.16E-05,21:15.8
0.00024329,-1.79E-05,3.39E-05,-7.32E-05,-4.27E-05,21:15.8
0.00015565,-2.15E-05,5.42E-05,-4.91E-05,-2.19E-05,21:15.8
7.49E-05,-2.44E-05,7.08E-05,-1.50E-05,-1.93E-06,21:15.8
7.19E-06,-1.67E-05,8.42E-05,1.26E-05,2.49E-05,21:15.8
-4.27E-05,-1.27E-05,8.85E-05,2.30E-05,3.84E-05,21:15.8
-1.81E-05,-1.49E-05,7.36E-05,1.11E-05,2.31E-05,21:15.8
5.39E-05,-1.54E-05,3.95E-05,-1.29E-05,-4.32E-06,21:15.8
0.00012049,-1.79E-05,2.60E-06,-3.16E-05,-2.89E-05,21:15.9
0.0001803,-1.92E-05,-1.99E-05,-5.24E-05,-5.01E-05,21:15.9
0.00020548,-1.46E-05,-2.94E-05,-6.38E-05,-6.19E-05,21:15.9
0.00016687,-1.03E-05,-2.75E-05,-4.67E-05,-5.49E-05,21:15.9
9.20E-05,-1.00E-05,-6.28E-06,-1.48E-05,-2.75E-05,21:15.9
1.01E-05,-1.06E-05,1.84E-05,1.40E-05,4.82E-06,21:15.9
-6.56E-05,-9.84E-06,2.77E-05,2.86E-05,2.14E-05,21:15.9
-9.06E-05,-5.92E-06,3.16E-05,3.43E-05,2.39E-05,21:15.9
-5.36E-05,-1.94E-06,2.69E-05,3.29E-05,1.82E-05,21:15.9
1.39E-05,-2.36E-06,1.21E-06,9.71E-06,-4.94E-06,21:15.9
9.90E-05,-6.51E-07,-3.35E-05,-2.31E-05,-3.78E-05,21:15.9
0.00016393,1.93E-06,-5.48E-05,-4.25E-05,-5.83E-05,21:15.9
0.00017692,2.61E-06,-5.74E-05,-4.53E-05,-6.54E-05,21:15.9
0.00014808,7.06E-06,-5.07E-05,-3.62E-05,-5.84E-05,21:15.9
7.88E-05,7.91E-06,-2.86E-05,-1.04E-05,-3.33E-05,21:15.9
-1.13E-05,5.53E-06,-3.78E-07,2.56E-05,-4.87E-06,21:15.9
-7.30E-05,6.89E-06,1.40E-05,4.19E-05,1.74E-05,21:15.9
-9.17E-05,5.85E-06,2.35E-05,4.55E-05,2.79E-05,21:15.9
-6.96E-05,7.91E-06,1.58E-05,3.88E-05,1.70E-05,21:15.9
3.53E-06,1.32E-05,-1.40E-05,6.12E-06,-8.97E-06,21:15.9
9.24E-05,9.92E-06,-3.68E-05,-1.67E-05,-3.62E-05,21:15.9
0.00015418,1.02E-05,-5.51E-05,-2.96E-05,-5.60E-05,21:15.9
0.0001809,1.25E-05,-6.75E-05,-4.70E-05,-6.57E-05,21:15.9
0.00014337,9.37E-06,-5.53E-05,-3.41E-05,-5.53E-05,21:15.9
6.07E-05,1.64E-05,-3.20E-05,-7.06E-06,-2.88E-05,21:15.9
-1.46E-06,1.28E-05,-1.00E-05,1.40E-05,-4.69E-06,21:15.9
-5.26E-05,3.78E-06,1.40E-05,4.05E-05,1.94E-05,21:15.9
-8.65E-05,2.22E-05,2.65E-05,4.98E-05,3.06E-05,21:15.9
